spectrum_SAR5_ADC_testbench_non_ideal_SIN_FFT.vout X,spectrum_SAR5_ADC_testbench_non_ideal_SIN_FFT.vout Y
0,-18.69734116290702
13954.78649176668,-18.69734116290701
27909.57298353335,-352.7136341466632
41864.35947530004,-78.23268512279873
55819.14596706671,-72.21208520952021
69773.93245883338,-78.23268512280089
83728.71895060006,-365.3929221615007
97683.50544236673,-77.17838720267969
111638.2919341334,-71.15778728939947
125593.0784259001,-77.17838720267875
139547.8649176668,-358.0784289496735
153502.6514094335,-74.51390135634989
167457.4379012001,-68.49330144307005
181412.2243929668,-74.51390135634951
195367.0108847335,-358.6227539030698
209321.7973765002,-76.56273138699591
223276.5838682669,-70.54213147371736
237231.3703600336,-76.56273138699827
251186.1568518003,-364.1564379907591
265140.943343567,-77.65216397407681
279095.7298353337,-71.631564060797
293050.5163271003,-77.65216397407664
307005.302818867,-367.7823092788931
320960.0893106337,-74.1739911366577
334914.8758024004,-68.15339122337782
348869.6622941671,-74.17399113665698
362824.4487859338,-370.9613519890568
376779.2352777005,-77.41025528219589
390734.0217694672,-71.38965536891649
404688.8082612338,-77.41025528219596
418643.5947530005,-356.3723887104924
432598.3812447672,-76.83890790025318
446553.1677365339,-70.81830798697395
460507.9542283006,-76.83890790025401
474462.7407200673,-360.8538773810534
488417.527211834,-81.20764696143893
502372.3137036007,-75.18704704815922
516327.1001953674,-81.20764696143885
530281.886687134,-359.1149921114691
544236.6731789007,-85.9527685058973
558191.4596706674,-79.93216859261776
572146.2461624341,-85.95276850589815
586101.0326542008,-365.2686748279606
600055.8191459675,-78.07056705290202
614010.6056377342,-72.04996713962251
627965.3921295009,-78.07056705290218
641920.1786212676,-362.2557106966859
655874.9651130342,-81.00458279114761
669829.7516048009,-74.9839828778674
683784.5380965676,-81.00458279114618
697739.3245883343,-355.5323602211758
711694.111080101,-79.40544653523526
725648.8975718677,-73.38484662195562
739603.6840636344,-79.40544653523533
753558.4705554011,-360.9004726175208
767513.2570471677,-76.03217563267395
781468.0435389344,-70.01157571939446
795422.8300307011,-76.03217563267422
809377.6165224678,-369.0875272273147
823332.4030142345,-76.62141154184505
837287.1895060012,-70.60081162856532
851241.9759977679,-76.62141154184474
865196.7624895346,-365.2321314374708
